Label,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Grants,1000.00,1000.00,51000.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCAP,34608.28,35865.00,35291.00,36619.00,35979.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daycare Resource,4305.18,4822.19,5083.53,4831.02,4848.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tuition Express,110069.76,110368.84,127966.93,107312.35,107760.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Advertising & marketing,0.00,184.61,0.00,0.00,309.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Business licenses,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Health insurance & accident plans,1471.76,1471.76,1471.76,1471.76,1471.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Workers' compensation insurance,287.51,322.91,324.82,482.52,321.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Entertainment,0.00,200.00,0.00,41.95,359.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Staff Bonus,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
West Bend,1597.33,1597.33,1597.33,1597.33,1597.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Business loan interest,5388.28,5388.28,5388.28,4069.34,2722.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Legal Fees,0.00,75.00,350.00,32.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nurse visit,90.00,90.00,90.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Meals,4937.84,1834.13,612.73,427.42,765.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Merchant account fees,2394.96,2751.80,1626.65,1113.18,1070.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Software & apps,497.18,408.97,594.72,503.00,408.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADP Fee,386.53,677.77,433.74,427.93,422.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Salaries & wages,46350.72,52433.40,52503.96,77349.92,52045.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Taxes paid,16310.23,18782.33,18597.56,27347.13,18088.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rent,0.00,12850.00,12850.00,12850.00,12850.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cleaning Service,1790.75,1790.75,1790.75,1791.75,1790.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Heating & Cooling,2405.25,0.00,981.17,513.03,299.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Landscaping,0.00,595.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Orkin,138.00,0.00,154.14,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Parts & Materials,0.00,5209.47,940.46,2062.00,4250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amazon,2277.78,3489.35,2544.92,3398.97,3237.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Supplies & materials,3071.00,3988.23,3777.58,3865.67,6532.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Utilities,201.87,0.00,211.95,0.00,264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Disposal & waste fees,683.82,760.21,1111.34,780.60,786.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Electricity,1156.36,0.00,2398.45,1264.29,1503.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Internet & TV services,193.20,193.11,193.11,193.11,193.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Water & sewer,462.70,265.97,336.95,314.71,432.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vehicle expenses,3360.34,3360.34,0.00,3360.34,3360.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00
