Label,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
Smart Beginnings Kirk & Butterfield,17600.00,13500.00,14150.00,500.00,7657.00,10300.00,15000.00,0.00,80000.00,53500.00,16100.00,1610.00
Smart Beginnings AOA,12600.00,0.00,4000.00,7510.00,8000.00,13500.00,14105.00,6780.71,10000.00,7290.00,10285.00,170.00
R Square Education Inc.,3000.00,5000.00,6300.00,0.00,13245.00,11100.00,4300.00,500.00,22260.00,15400.00,0.00,0.00
Konfide Properties,0.00,0.00,0.00,0.00,50000.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
Smart Beginnings of Oswego,0.00,0.00,0.00,100.00,0.00,0.00,0.00,3200.00,41000.00,1200.00,0.00,0.00
Salaries & wages,10039.38,10408.79,9994.14,4223.46,2744.53,6604.48,2875.09,0.00,0.00,0.00,0.00,0.00
Payroll taxes,6684.58,3821.30,6589.24,2146.06,4549.26,2154.30,1157.38,0.00,1703.00,0.00,257.79,0.00
Payroll fees,45.00,45.00,45.00,45.00,45.00,45.00,192.94,117.83,45.00,3.12,0.00,0.00
Health insurance,1474.59,1597.83,1597.83,1597.83,1597.83,1597.83,1597.83,1597.83,1597.83,1597.83,1597.83,1597.83
Accounting & tax prep,300.00,125.00,0.00,125.00,250.00,0.00,125.00,125.00,0.00,0.00,0.00,175.00
Software,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,38.00,38.00,38.00
Vehicle loan,2050.00,2050.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Events / contractors,725.00,1320.00,10000.00,2500.00,0.00,0.00,0.00,1392.50,0.00,16950.00,0.00,0.00
Owner Distribution,2700.00,2185.00,20585.00,0.00,30757.00,20100.00,25400.00,85.00,152800.00,54860.00,20010.00,0.00
