Label,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Tuition Express,22989.75,21970.05,29171.52,25767.65,27707.4,35907.5,0.0,0.0,0.0,0.0,0.0,0.0
CCAP,33590.0,28457.0,23948.0,29316.0,24526.0,21945.0,0.0,0.0,0.0,0.0,0.0,0.0
Daycare Resource,2983.46,2887.7,3632.92,3546.27,3818.98,3539.92,0.0,0.0,0.0,0.0,0.0,0.0
Grants,1000.0,1000.0,31500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merchant account fees,841.41,684.39,608.09,1116.48,1889.36,2155.35,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,0.0,696.0,696.0,696.0,696.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0
Heating & Cooling,891.22,0.0,2352.16,470.71,203.07,142.45,0.0,0.0,0.0,0.0,0.0,0.0
West Bend,660.42,660.42,660.42,660.42,660.42,660.42,0.0,0.0,0.0,0.0,0.0,0.0
Water & sewer,272.21,0.0,123.9,175.8,337.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Internet & TV services,206.85,206.76,206.76,206.76,207.22,207.22,0.0,0.0,0.0,0.0,0.0,0.0
Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Disposal & waste fees,309.03,353.29,356.47,375.36,378.25,386.62,0.0,0.0,0.0,0.0,0.0,0.0
Orkin,200.0,0.0,94.95,0.0,300.0,94.95,0.0,0.0,0.0,0.0,0.0,0.0
Amazon,736.12,567.99,657.69,872.02,943.27,1892.29,0.0,0.0,0.0,0.0,0.0,0.0
Supplies & materials,365.75,435.93,777.97,895.27,1412.5,1137.7,0.0,0.0,0.0,0.0,0.0,0.0
Meals,2319.15,2532.02,1999.45,2869.13,2358.43,3689.55,0.0,0.0,0.0,0.0,0.0,0.0
Entertainment,0.0,200.0,525.0,0.0,81.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0
Software & apps,518.9,161.37,392.34,366.36,519.51,339.81,0.0,0.0,0.0,0.0,0.0,0.0
Parts & Materials,3360.0,3537.21,4289.12,500.0,2400.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0
Landscaping,0.0,520.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
Legal Fees,0.0,0.0,0.0,684.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
Business licenses,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle expenses,2284.25,2484.39,2233.39,2273.39,2273.39,2359.38,0.0,0.0,0.0,0.0,0.0,0.0
Workers' compensation insurance,134.12,136.88,153.3,157.03,235.41,164.68,0.0,0.0,0.0,0.0,0.0,0.0
Taxes paid,5640.06,6210.41,6971.67,10518.63,7060.48,7188.76,0.0,0.0,0.0,0.0,0.0,0.0
Salaries & wages,18138.88,17562.73,19026.72,27955.03,19311.59,20541.2,0.0,0.0,0.0,0.0,0.0,0.0
ADP Fee,319.03,545.7,247.24,242.46,252.02,252.02,0.0,0.0,0.0,0.0,0.0,0.0
Nurse visit,90.0,90.0,90.0,90.0,317.32,90.0,0.0,0.0,0.0,0.0,0.0,0.0
Rent,5600.0,3600.0,0.0,4000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
Business loan interest,3000.0,0.0,3200.0,3500.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
SBA EIDL loan,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
Staff Bonus,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advertising & marketing,0.0,0.0,0.0,154.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
