Label,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
CCAP,32798.50,25743.50,20920.00,22083.00,27500.00,23752.50,0.00,0.00,0.00,0.00,0.00,0.00
Daycare Resource,2541.36,2366.68,2781.52,2644.38,3054.48,2634.46,0.00,0.00,0.00,0.00,0.00,0.00
Tuition Express,18975.86,17629.56,21660.30,18027.50,18635.16,27090.27,0.00,0.00,0.00,0.00,0.00,0.00
Grants,0.00,0.00,31500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Salaries & wages,17983.60,17811.34,17333.97,27929.18,20953.65,22253.07,0.00,0.00,0.00,0.00,0.00,0.00
Workers' compensation insurance,128.80,136.30,132.93,145.58,216.88,169.34,0.00,0.00,0.00,0.00,0.00,0.00
Health insurance & accident plans,511.25,545.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Taxes paid,6399.63,6875.38,6340.50,8221.44,6884.05,7686.89,0.00,0.00,0.00,0.00,0.00,0.00
ADP Fee,310.93,423.41,228.13,237.68,247.24,252.02,0.00,0.00,0.00,0.00,0.00,0.00
Staff Bonus,1000.00,0.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Business loan interest,996.10,901.68,1006.21,982.30,988.73,1014.25,0.00,0.00,0.00,0.00,0.00,0.00
Rent,0.00,0.00,0.00,31500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Merchant account fees,1244.95,1358.94,960.76,2795.93,3231.21,3119.43,0.00,0.00,0.00,0.00,0.00,0.00
West Bend,1348.84,1348.84,1309.68,1303.68,1303.68,1303.68,0.00,0.00,0.00,0.00,0.00,0.00
Meals,3157.74,3583.65,3622.88,5090.33,4987.69,2850.18,0.00,0.00,0.00,0.00,0.00,0.00
Amazon,1576.73,1690.77,2062.84,1992.84,2140.80,1862.87,0.00,0.00,0.00,0.00,0.00,0.00
Supplies & materials,791.35,1600.99,1314.48,1085.13,1356.56,1657.55,0.00,0.00,0.00,0.00,0.00,0.00
Parts & Materials,2784.16,1300.00,1223.02,1229.10,1483.64,344.00,0.00,0.00,0.00,0.00,0.00,0.00
Vehicle expenses,0.00,88.43,77.00,677.12,1348.81,242.27,0.00,0.00,0.00,0.00,0.00,0.00
Electricity,1061.80,897.78,715.35,572.30,811.75,1038.69,0.00,0.00,0.00,0.00,0.00,0.00
Heating & Cooling,727.49,852.85,600.37,487.04,367.39,238.68,0.00,0.00,0.00,0.00,0.00,0.00
Water & sewer,0.00,242.65,147.03,316.59,192.46,500.57,0.00,0.00,0.00,0.00,0.00,0.00
Internet & TV services,208.80,208.72,208.72,208.72,210.90,210.90,0.00,0.00,0.00,0.00,0.00,0.00
Utilities,0.00,0.00,204.75,0.00,0.00,204.75,0.00,0.00,0.00,0.00,0.00,0.00
Disposal & waste fees,252.34,251.43,386.23,260.20,342.20,268.00,0.00,0.00,0.00,0.00,0.00,0.00
Orkin,0.00,0.00,196.00,300.00,0.00,196.00,0.00,0.00,0.00,0.00,0.00,0.00
Software & apps,137.83,123.83,336.83,252.53,272.04,254.36,0.00,0.00,0.00,0.00,0.00,0.00
Entertainment,0.00,451.47,100.00,400.00,0.00,387.90,0.00,0.00,0.00,0.00,0.00,0.00
Landscaping,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cleaning Service,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Legal Fees,250.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Business licenses,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Advertising & marketing,90.00,56.58,1126.30,293.83,532.10,207.13,0.00,0.00,0.00,0.00,0.00,0.00
Nurse visit,450.00,0.00,90.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00
