Label,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Service Income,46525.00,8875.00,0.00,0.00,85200.00,17250.00,6900.00,0.00,44100.00,7600.00,0.00,69.65
Rent,2603.09,2603.09,2603.09,2603.09,2317.13,2652.09,2652.09,2652.09,5304.18,0.00,2652.09,2652.09
Advertising & marketing,2000.00,2600.00,0.00,3000.00,0.00,5400.00,0.00,0.00,0.00,4000.00,0.00,0.00
Merchant account fees,125.90,1159.17,297.36,137.90,130.90,1872.30,453.69,328.43,143.90,939.52,308.68,147.90
Software & apps,117.09,117.09,134.59,134.59,134.59,161.59,161.59,164.25,168.19,138.19,112.99,112.99
Course materials,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,599.00,0.00,0.00,0.00
Repairs & maintenance,0.00,0.00,0.00,0.00,0.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00
Electricity,110.01,111.51,130.02,112.93,105.39,0.00,311.43,132.06,118.20,95.28,0.00,144.25
Heating & Cooling,130.74,169.28,153.61,116.56,81.64,60.70,54.11,54.61,54.63,54.76,0.00,203.51
Internet & TV services,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.09
Bank fees & service charges,0.00,97.50,36.50,97.50,2.50,2.50,2.50,2.50,2.50,2.50,5.00,95.00
Legal & professional fees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,175.00,0.00,0.00
Taxes paid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00
SBA EIDL loan,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,1100.00,750.00,750.00,750.00
Konfide Education Group,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,13000.00,0.00,0.00,0.00
Konfide Management Fee,3000.00,5000.00,6300.00,0.00,13245.00,11100.00,4300.00,500.00,22260.00,15400.00,0.00,0.00
Owner withdrawal,0.00,0.00,0.00,0.00,1250.00,7900.00,0.00,800.00,1850.00,1300.00,100.00,0.00
